"obs","idnumber","salary","lsalary","educ","salbegin","lsalbegin","male","minority","jobcat"
1,1,57,4.04305126783455,15,27,3.29583686600433,1,0,3
2,2,40.2,3.69386699562498,16,18.75,2.93119375241642,1,0,1
3,3,21.45,3.06572464537403,12,12,2.484906649788,0,0,1
4,4,21.9,3.08648663682246,8,13.2,2.58021682959233,0,0,1
5,5,45,3.80666248977032,15,21,3.04452243772342,1,0,1
6,6,32.1,3.46885603013597,15,13.5,2.60268968544438,1,0,1
7,7,36,3.58351893845611,15,18.75,2.93119375241642,1,0,1
8,8,21.9,3.08648663682246,12,9.75,2.27726728500976,0,0,1
9,9,27.9,3.32862668882732,15,12.75,2.54553127160443,0,0,1
10,10,24,3.17805383034795,12,13.5,2.60268968544438,0,0,1
11,11,30.3,3.41114771251532,16,16.5,2.80336038090653,0,0,1
12,12,28.35,3.34462703017376,8,12,2.484906649788,1,1,1
13,13,27.75,3.32323584019244,15,14.25,2.65675690671466,1,1,1
14,14,35.1,3.55820113047182,15,16.8,2.82137888640921,0,1,1
15,15,27.3,3.30688670219091,12,13.5,2.60268968544438,1,0,1
16,16,40.8,3.70868208141012,12,15,2.70805020110221,1,0,1
17,17,46,3.8286413964891,15,14.25,2.65675690671466,1,0,1
18,18,103.75,4.64198415911081,16,27.51,3.31454957493648,1,0,3
19,19,42.3,3.74478708605223,12,14.25,2.65675690671466,1,0,1
20,20,26.25,3.26766598903763,12,11.55,2.4466854369678,0,0,1
21,21,38.85,3.65970807681366,16,15,2.70805020110221,0,0,1
22,22,21.75,3.07961375753469,12,12.75,2.54553127160443,1,1,1
23,23,24,3.17805383034795,15,11.1,2.40694510831829,0,1,1
24,24,16.95,2.83026783382646,12,9,2.19722457733622,0,1,1
25,25,21.15,3.05163990549229,15,9,2.19722457733622,0,1,1
26,26,31.05,3.43559880837949,15,12.6,2.53369681395743,1,0,1
27,27,60.375,4.10057511197274,19,27.48,3.31345846735415,1,0,3
28,28,32.55,3.48277736865458,15,14.25,2.65675690671466,1,0,1
29,29,135,4.90527477843843,19,79.98,4.38177660341867,1,0,3
30,30,31.2,3.44041809481544,15,14.25,2.65675690671466,1,0,1
31,31,36.15,3.58767694860477,12,14.25,2.65675690671466,1,0,1
32,32,110.625,4.70614610332809,19,45,3.80666248977032,1,0,3
33,33,42,3.73766961828337,15,15,2.70805020110221,1,0,1
34,34,92,4.52178857704904,19,39.99,3.68862942285873,1,0,3
35,35,81.25,4.39753082120985,17,30,3.40119738166216,1,0,3
36,36,31.35,3.44521426707893,8,11.25,2.42036812865043,0,0,1
37,37,29.1,3.37073817417745,12,13.5,2.60268968544438,1,1,1
38,38,31.35,3.44521426707893,15,15,2.70805020110221,1,1,1
39,39,36,3.58351893845611,16,15,2.70805020110221,1,1,1
40,40,19.2,2.95491027903374,15,9,2.19722457733622,0,1,1
41,41,23.55,3.15912582046243,12,11.55,2.4466854369678,0,1,1
42,42,35.1,3.55820113047182,15,16.5,2.80336038090653,1,0,1
43,43,23.25,3.14630513203337,12,14.25,2.65675690671466,1,0,1
